circleme,regionme,divisionme,officeme,pincode,officetype,delivery,district,stateme,latitude,longitude
Andhra Pradesh Circle,Vijayawada Region,Markapur  Division,Panduvagulavaram B.O,523224,BO,Delivery,PRAKASAM,ANDHRA PRADESH,15.39,79.233519
Andhra Pradesh Circle,Vijayawada Region,Markapur  Division,Vedullacheruvu B.O,523224,BO,Delivery,PRAKASAM,ANDHRA PRADESH,15.28,79.217125
Andhra Pradesh Circle,Vijayawada Region,Markapur  Division,Ramalingapuram,523224,BO,Delivery,PRAKASAM,ANDHRA PRADESH,11.663500000000001,78.261099999999999
Andhra Pradesh Circle,Vijayawada Region,Prakasam Division,Kalavakur B.O,523201,BO,Delivery,Bapatla,ANDHRA PRADESH,15.87,79.980814
Andhra Pradesh Circle,Vijayawada Region,Prakasam Division,Khambampadu B.O,523201,BO,Delivery,PRAKASAM,ANDHRA PRADESH,15.85,79.934571
Andhra Pradesh Circle,Vijayawada Region,Prakasam Division,Bandlamudi B.O,523226,BO,Delivery,PRAKASAM,ANDHRA PRADESH,15.61,79.89758
Andhra Pradesh Circle,Vijayawada Region,Prakasam Division,Bhusarapalli B.O,523226,BO,Delivery,PRAKASAM,ANDHRA PRADESH,15.51,79.812164
Andhra Pradesh Circle,Vijayawada Region,Prakasam Division,Rajupalem B.O,523280,BO,Delivery,PRAKASAM,ANDHRA PRADESH,15.4,80.130243
Andhra Pradesh Circle,Vijayawada Region,Prakasam Division,Devarampadu B.O,523182,BO,Delivery,PRAKASAM,ANDHRA PRADESH,15.55,80.183802
Andhra Pradesh Circle,Vijayawada Region,Prakasam Division,Makkevaripalem B.O,523303,BO,Delivery,Bapatla,ANDHRA PRADESH,16.02,79.957638
Andhra Pradesh Circle,Vijayawada Region,Prakasam Division,Muktheswaram B.O,523303,BO,Delivery,Bapatla,ANDHRA PRADESH,15.99,79.987164
Andhra Pradesh Circle,Vijayawada Region,Prakasam Division,S.L. Gudipadu B.O,523303,BO,Delivery,Bapatla,ANDHRA PRADESH,16.88,80.963402
Andhra Pradesh Circle,Vijayawada Region,Prakasam Division,Pitchikalagudipadu B.O,523212,BO,Delivery,Bapatla,ANDHRA PRADESH,15.78,80.025547
Andhra Pradesh Circle,Vijayawada Region,Prakasam Division,Nelaturu B.O,523211,BO,Delivery,PRAKASAM,ANDHRA PRADESH,15.62,79.974804
Telanga Circle,Hyderabad Region,Hamkonda Division,Kondapur B.O,506367,BO,Delivery,SIDDIPET,TELANGA,17.99,79.1334858
Andhra Pradesh Circle,Vijayawada Region,Prakasam Division,Doddavarappadu B.O,523211,BO,Delivery,PRAKASAM,ANDHRA PRADESH,15.59,80.02995
Andhra Pradesh Circle,Vijayawada Region,Prakasam Division,Ballikurva B.O,523301,BO,Delivery,Bapatla,ANDHRA PRADESH,15.99,80.024886
Andhra Pradesh Circle,Vijayawada Region,Prakasam Division,Uppumagulur B.O,523301,BO,Delivery,Bapatla,ANDHRA PRADESH,16.08,80.067587
Andhra Pradesh Circle,Vijayawada Region,Prakasam Division,Jontali B.O,523301,BO,Delivery,Bapatla,ANDHRA PRADESH,15.95,80.095394
Andhra Pradesh Circle,Vijayawada Region,Prakasam Division,Yeddapudi B.O,523301,BO,Delivery,Bapatla,ANDHRA PRADESH,16,80.173244
Andhra Pradesh Circle,Vijayawada Region,Prakasam Division,Bhagavanrajupalem B.O,504346,BO,Delivery,Bapatla,ANDHRA PRADESH,15.87,80.060823
Andhra Pradesh Circle,Vijayawada Region,Prakasam Division,Bollapalli B.O,523261,BO,Delivery,Bapatla,ANDHRA PRADESH,15.88,80.086427
Andhra Pradesh Circle,Vijayawada Region,Prakasam Division,Baitamanjuluru B.O,523261,BO,Delivery,Bapatla,ANDHRA PRADESH,15.86,80.055159
Andhra Pradesh Circle,Vijayawada Region,Prakasam Division,Kopperapadu B.O,523213,BO,Delivery,Bapatla,ANDHRA PRADESH,15.94,79.957041
Andhra Pradesh Circle,Vijayawada Region,Prakasam Division,Kamepalli B.O,523302,BO,Delivery,Bapatla,ANDHRA PRADESH,16.13,79.909131
Andhra Pradesh Circle,Vijayawada Region,Prakasam Division,Kopparam B.O,523302,BO,Delivery,Bapatla,ANDHRA PRADESH,16.08,79.991283
Andhra Pradesh Circle,Vijayawada Region,Prakasam Division,B.Machavaram B.O,523225,BO,Delivery,PRAKASAM,ANDHRA PRADESH,15.48,79.901367
Andhra Pradesh Circle,Vijayawada Region,Prakasam Division,Maddulur B.O,523225,BO,Delivery,PRAKASAM,ANDHRA PRADESH,15.46,79.866784
Andhra Pradesh Circle,Vijayawada Region,Prakasam Division,Modepalli B.O,523264,BO,Delivery,Bapatla,ANDHRA PRADESH,15.75,79.932884
